Train-Test Ratio,Linear Kernel,Poly Kernel,Rbf Kernel
10% Test Set,1.0,0.8181818181818182,0.9090909090909091
20% Test Set,1.0,0.766497461928934,0.8477157360406091
30% Test Set,0.9898305084745763,0.7220338983050848,0.8779661016949153
40% Test Set,0.9618320610687023,0.712468193384224,0.8524173027989822
50% Test Set,0.9389002036659878,0.6924643584521385,0.835030549898167
